title,company,location,Link
[코어뱅킹/금융정보개발] 금융 IT 개발자 - 대규모,한국카카오은행,성남 분당구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=f35647a1ef8530a1
오퍼튜니티 웹/앱 개발자 (정규직),오퍼튜니티,제주 제주시,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=b35038c9ca0d9b44
[KSTEC] 2021년 경력 사원 (SW개발자),지식시스템,성남 분당구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=7dc860cc05850a5b
풍산/풍산홀딩스 2021년 경력사원,풍산,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=e60615054181b16b
[기술기획] 클라우드 플랫폼 개발자,한국카카오은행,성남 분당구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=2372de2fcdcdd088
"데이터마이닝, 데이터베이스개발자 신입/경력 계약직",다움커리어,서울 영등포구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=3530911432c0d544
웹 개발자,Nexon,성남 분당구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=5c584f0e80a5553b
웹 서비스 개발 및 운영 위한 웹 프론트엔드 개발자,카카오모빌리티,성남 분당구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=a280286bc4b51545
AI 서비스 백엔드 개발자 (신입/경력),플레이스에이,성남 분당구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=84073b0a49c43877
[서비스개발/고객플랫폼] 서버 개발자 - 대규모,한국카카오은행,성남 분당구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=6a0ba5a965fd482b
"IoT 제품 H/W 개발자 (신입, 경력)개발팀",엠알티,광주 북구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=814bd5f9ff021fac
게임웹개발팀 - 웹 프론트엔드 개발자 (계약직),Nexon,성남 분당구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=c345ca5dc9dff18d
기업부설연구소 연구직 및 개발자 경력자 정규직,에이스피엠씨,서울 송파구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=e8f6208220ecbadc
사물인터넷(IoT) 개발자 - 신입 가능,큐빅스,경기도 파주,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=1d792ac9290a428a
카카오내비 경로 탐색 개발자 영입,카카오모빌리티,성남 분당구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=54852420242f809c
ERP프로그램 개발자(신입 및 경력자),씨엘에스앤아이,서울 강동구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=65c60be6dd600d4d
솔루션 개발자,고도소프트,서울 구로구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=ce97cc7e1904d7ff
소프트웨어 자바 개발자,인에이블,서울 강서구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=a29e4f1eeaa81178
온라인개발팀(웹개발자/API 연동 개발자) 신입/경력 정규직,비아인터내셔날,수원 영통구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=0f2e8ee489a01c1e
제어로직 및 펌웨어 개발자,주)크린어스,경기도 평택,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=e53c4840c733b600
"프로그램 개발자 (.NET, C# 외) 신입 정규직",조이팩토리,서울 금천구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=7479ca6e0a692233
VR(가상현실)/AR(증강현실) 교육용 웹/앱 콘텐츠 개발자,투비데이타,서울 영등포구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=b3a4ae8cd8d0cfbb
1분기 개발자 (신입/경력),이스트게임즈,서울 서초구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=6bfec9fa5d0c15f5
IT분야 경력직원,우리에프아이에스,서울 마포구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=ee20084444800c91
"[신입/경력] 정규직, 계약직 JAVA 웹 프로그래머, IT 개발자",문테크앤소프트,서울 동작구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=47a805cc0254581d
[개발자/정규직/신입] 2021년 (주)노리소프트 콘텐츠운영팀 상반기,노리소프트,대구 중구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=8cff28d1aa902614
"2021년 경력 (IT, 플랫폼 운영)",한국야쿠르트,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=03de4b2772fed511
카카오내비 3D 지도 엔진 개발자 영입,카카오모빌리티,성남 분당구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=7d0083875ded7a02
2021년 Web 시스템 운영 경력직,애경그룹 유통부문,서울 마포구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=57802f86a3568f1c
"홈페이지, 어플개발자 (청년 디지털일자리사업 참여업체)",케이에스산업안전협회,광주 광산구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=b79c6783112594c9
SAP 컨설턴트 / 개발자 신입 및 경력,JMC CORPORATION,서울 마포구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=174ae12571a9ac98
초지향 스피커용 신호처리 알고리즘(신입 및 경력) 개발자,제이디솔루션,서울 금천구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=0485e434e6335e2e
2021년 [Global ERP(제조담당)],씨젠,서울 송파구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=ea25540220a98eae
21년 윈스 공채 (신입/경력),윈스,성남 분당구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=af1060d4d417dcf0
제조 IT 소프트웨어 개발자 (신입),남경소프트,대구 달서구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=dfbdc2fb9df2a2c2
"펌웨어, HW 개발자 안내",빅테크,강원도 원주,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=092ec85e8a3a2a11
"경력직 특별(IT, 정보보호)",케이티아이에스,서울 영등포구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=2c0ff2d22876442a
"(각 부문별) 이커머스 마케팅, MD, 물류, 개발자 등 정규직",아이비엘글로벌,서울 영등포구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=43a368b647dcb744
응용소프트웨어&웹 개발자(응용프로그래머),솔루텍시스템,서울 영등포구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=0609fcea25988c29
모바일 게임플랫폼 백엔드 개발자 (주니어),데브시스터즈,서울 강남구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=99f320558d683437
반도체/디스플레이/물류 부문 응용 S/W 개발자 (Windows C#),아이티팜,성남 분당구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=beb4bea37d1d58c5
JAVA 웹 개발자,창조와응용,대한민국,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=4e4aad4487a6bb12
"R&D 엔지니어 영입 (자율주행 S/W 엔지니어, 퍼셉션(인지) 엔지니어)",카카오모빌리티,성남 분당구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=dfe33f6c50c6d764
비타민하우스 전산사업부 전산 개발자 (경력직),비타민하우스,광주 북구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=50cf9d31a0f89008
모바일 게임플랫폼 백엔드 개발자 (시니어),데브시스터즈,서울 강남구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=6ac821933cbf5e34
중고차유통플랫폼 Front-end 개발자 (React.js 경험자 우대),에이피서비스,서울 강남구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=200caa862ba2ac67
자동화장비 기술개발자(설계) 경력사원,우솔,경상북도 구미,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=ff0709fa28152260
자연어처리(NLP) 개발자,바운티팜,서울 서초구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=35e009befbd56015
웹 디자이너 또는 개발자,우리동네라운지,서울 송파구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=621dc9a9e340dc21
[코드라인] 정규직 웹 개발자(Node.js) 신입/경력,코드라인,서울 금천구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=f22da0406cd90721
"디엠티솔루션(자동화설비 설계, 기술 개발자 )",디엠티솔루션,경상북도 구미,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=7c93c584f28a62fc
[개발자] 꿈 찾아드립니다. 저희와 함께하세요.,ICON,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=7bdf7f0af8003540
배달의민족 선물하기/브랜드채널 서버 개발자,우아한 형제들,서울 송파구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=d65b4ee63d502096
웹및 웹앱SDK 개발자,유저해빗,서울 중구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=d74666e76d917446
대구 하드웨어 개발자,휴컨,대구 북구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=3e64175c1ed589b9
웹 개발자(신입),이롭게,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=e0c5eaad710891da
(주)지에이 전자회로 설계 및 loT디바이스 펌웨어 개발자,지에이,강원도 원주,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=f40de04d98505cda
[신입/경력] (주)마크로젠 각 부문별 신입/경력 직원,마크로젠,서울 금천구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=b431f207fc8da9e6
바이오프린터/의료기기 소프트웨어(앱) 개발자 (경력직) (펌웨어 아님),로킷헬스케어,서울 금천구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=1f54a55194e5a2cd
웹서비스 플랫폼 개발자,에프엠커뮤니케이션즈,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=a34f87230e0a3b39
신규 모바일 전략RPG 개발자 모집 (배경 원화) (경력),네오위즈,대한민국,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=ee70fdae8c2a2411
신규 모바일 전략RPG 개발자 모집 (기획 리딩) (경력),네오위즈,대한민국,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=a9a523241138e442
신규 모바일 전략RPG 개발자 모집 (캐릭터 원화) (경력),네오위즈,대한민국,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=e35fac05f64b4798
시스템 개발자 Product Manager Junior (영어/프랑스 어 구사),아람소프트,경기도 하남,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=c7e2021150b01d98
NXLog팀 개발파트 개발자,Nexon,성남 분당구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=077d3be0bf640402
융합 기술 개발자 영입,카카오,성남 판교역,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=4a3f3394051d28c0
"카카오내비 IVI (안드로이드오토, 카플레이) 개발자 영입",카카오모빌리티,성남 분당구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=547f37934978a30a
"닷넷개발자, IoT개발 경력 정규직",토니서치,성남 분당구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=48aa087022c3260e
신규 모바일 전략RPG 개발자 모집 (시나리오 및 레벨 기획) (경력),네오위즈,대한민국,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=cd7304143e2e27c7
"AR/XR컨텐츠개발자, 언리얼개발자",시니어앤파트너즈,서울 강남구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=25806c62db7d68aa
소프트웨어 개발자,선린대학,포항 흥해읍,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=a3e9b0e7a45a6037
[카카오 클라우드] 카카오 클라우드 콘솔(포탈) 프론트엔드 개발자 모집,카카오,성남 판교역,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=dcfe7bac31d8b195
웹 프론트엔드 개발자,쏘카,대한민국,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=5827e320d9e8fe58
2021년 Android 앱 운영 개발자 경력직,애경그룹 유통부문,서울 강서구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=0da1d03df0d6e555
백엔드 개발자,스포카,부산 해운대구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=8386e6ce6cf094c3
[Kakao TV] 동영상 서비스 Frontend 개발자 모집,카카오,성남 판교역,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=e7fd181c1bd2d558
신규 모바일 전략RPG 개발자 모집 (이펙터) (경력),네오위즈,대한민국,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=5b8644eac5a9ac7d
신규 모바일 전략RPG 개발자 모집 (서버) (경력),네오위즈,대한민국,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=fafa346e7ba0ffdb
신규 모바일 전략RPG 개발자 모집 (밸런스 기획) (경력),네오위즈,대한민국,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=a0e9dada26fabe85
TOAST CAM 개발자,NHN,성남 판교역,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=e6e3a5effcabf894
한국화학연구원 2021년 1차 계약직 공개,한국화학연구원,대전 유성구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=e10bb5f37ebbcb49
[네이버파이낸셜] 백엔드 개발자,네이버파이낸셜,성남 분당구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=f16a87012a9a1068
각 부문 신입 및 경력사원,에이치엘사이언스,경기도 화성,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=7781d7ea980c6675
[ESTsecurity] 윈도우 커널 드라이버 개발자 (경력),이스트시큐리티,서울 서초구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=af7e5038611fafa8
2020년 석/박사 [산업분석],현대글로비스,서울 강남구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=cef5f2b06f1c5370
(주)엘솔루 웹 개발자,㈜엘솔루,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=8db0e0541dce0e4c
[관계사] 키즈노트 백엔드 개발자 (경력직),키즈노트,성남 분당구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=76d64ac8eaa3d860
"전기자동차 전장설계/제어설계, VCU/EPT 설계 개발자",디피코,강원도 횡성,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=5fbaccc845e3d690
2021년 상반기 각 부문별 신입/경력 정규직,피엔피에너지텍,대전 유성구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=74d520b1c387fa09
능력있는 프로그램 개발자 (신입 및 경력),아이엠시티,전주 덕진구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=12bc1b243b6ce398
(주)인에이블 소프트웨어 JAVA 개발자 신입,인에이블,서울 강서구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=a2c1902fdcba6f31
[신중년적합직무관련] 시스템 소프트웨어 경력 개발자,지올린,광주 동구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=5a364acf8aa1f3f8
집나간 경력 백엔드 개발자 찾고 있습니다.,자버,서울 마포구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=eff34d78d45fcfb0
hybrid app 개발자,vitalcontact,대한민국,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=99d891504797baa5
우아한형제들 라이브커머스사업 서버 개발자,우아한 형제들,서울 송파구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=bb767445ccf2e87a
X레이 제조 코스닥 상장사 영상기술 개발자,인파트너스,경기도 광명,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=4b1a181ebf6eeac9
"모바일 APP 개발자 , 웹개발자(PHP,JAVA)",코리아웹데이터센터,울산 중구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=85596a46cae830f0
(주)아이옵스 소프트웨어 개발자 경력직,아이옵스,대전 유성구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=3b9d6b796bea545b
"SI e-커머스, 금융, 생보 서비스 개발자 계약직 & 프리랜서",모드니사회적협동조합,서울 중구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=60b99c3615afc933
펌웨어 개발자,바이패스,인천 계양구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=656e8788e4b8e81e
[클라우드서비스] DB 서비스 개발자 영입,카카오엔터프라이즈,성남 분당구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=d2be0327a4b49b7b
"[품질관리팀 실험담당 경력직],[ 제과제빵 개발자(R&D) ]",푸드코아,경기도 안성,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=%EA%B0%9C%EB%B0%9C%EC%9E%90&limit=50&vjk=e39939b957429cc4
